cohort,biological_target,scoring_function,pair,mean_within_seed_rho,receptor_spearman_rho,pair_reversal_fraction,median_abs_delta_rank,top20_survival,rrl_conservative,rrl_conservative_lower_bound,rrl_conservative_status
ESR1_ant,ESR1,vina,1XP1-2AYR,0.993807609075035,0.9378182280969573,0.0822530902890956,12.0,0.7,1.271,1.271,FINITE
ESR1_ant,ESR1,vinardo,1XP1-2AYR,0.9921642751282018,0.863672123164894,0.1467439002984026,23.0,0.65,1.4650000000000003,1.4650000000000003,FINITE
MAPK1,MAPK1,vina,1PME-3W55,0.99040677151047,0.8855398864640699,0.1437420066705118,29.0,0.3,1.1710000000000012,1.1710000000000012,FINITE
MAPK1,MAPK1,vina,1PME-4XJ0,0.9890517507263046,0.8712878374132592,0.157473700048901,36.0,0.4,1.286999999999999,1.286999999999999,FINITE
MAPK1,MAPK1,vina,1PME-6G9H,0.9908898704587584,0.8939973631659699,0.1408851554663992,30.0,0.45,1.3790000000000004,1.3790000000000004,FINITE
MAPK1,MAPK1,vina,3W55-4XJ0,0.989472557493332,0.8964414877741733,0.1383919056156672,28.0,0.65,1.0939999999999994,1.0939999999999994,FINITE
MAPK1,MAPK1,vina,3W55-6G9H,0.9913106772257858,0.8969783385155974,0.1386949163166802,27.5,0.6,1.282,1.282,FINITE
MAPK1,MAPK1,vina,4XJ0-6G9H,0.9899556564416204,0.9193856063445,0.1232260167494107,27.25,0.6,1.1909999999999998,1.1909999999999998,FINITE
MAPK1,MAPK1,vinardo,1PME-3W55,0.96035727976688,0.7246478239101107,0.2278369905956112,46.0,0.15,1.958,1.958,FINITE
MAPK1,MAPK1,vinardo,1PME-4XJ0,0.9524167055553034,0.6282292846855463,0.2706248275516091,54.5,0.35,2.1850000000000005,2.1850000000000005,FINITE
MAPK1,MAPK1,vinardo,1PME-6G9H,0.9716591562123134,0.7648496492336558,0.2097356673521593,40.5,0.35,1.715,1.715,FINITE
MAPK1,MAPK1,vinardo,3W55-4XJ0,0.9445099110409808,0.6879088505193223,0.2490155258471494,54.75,0.25,1.6739999999999997,1.6739999999999997,FINITE
MAPK1,MAPK1,vinardo,3W55-6G9H,0.9637523616979906,0.7633777477775233,0.2117188283679406,44.0,0.4,1.577,1.577,FINITE
MAPK1,MAPK1,vinardo,4XJ0-6G9H,0.9558117874864138,0.7168920023978128,0.2345615531253135,48.0,0.4,1.6760000000000006,1.6760000000000006,FINITE
ADRB2,ADRB2,vina,3P0G-4LDE,0.994884741755963,0.8004565198695959,0.1872915151363146,38.75,0.45,6.815,6.815,FINITE
ADRB2,ADRB2,vina,3P0G-4LDL,0.9941435804090384,0.7907805416187118,0.1905239785742062,40.75,0.4,6.815,6.815,FINITE
ADRB2,ADRB2,vina,4LDE-4LDL,0.9956940636725472,0.9259464036049624,0.1041854862993074,20.0,0.5,0.9650000000000007,0.9650000000000007,FINITE
ADRB2,ADRB2,vinardo,3P0G-4LDE,0.9939504364893256,0.7689418186741488,0.2102973623508173,48.25,0.4,7.282500000000001,7.282500000000001,FINITE
ADRB2,ADRB2,vinardo,3P0G-4LDL,0.9930996402804618,0.7671941786416678,0.2086979414788255,46.0,0.35,7.8875,7.8875,FINITE
ADRB2,ADRB2,vinardo,4LDE-4LDL,0.9919082237509728,0.911115593439836,0.1220191078010983,26.25,0.5,1.2039999999999995,1.2039999999999995,FINITE
ESR1_ago,ESR1,vina,2B1V-4IVW,0.9964791361571852,0.7618499333291429,0.1926153460381143,29.0,0.3,7.9702,7.9702,FINITE
ESR1_ago,ESR1,vina,2QZO-2B1V,0.9973192683042076,0.8478114241370941,0.1467793295389013,22.25,0.4,5.8504000000000005,5.8504000000000005,FINITE
ESR1_ago,ESR1,vina,2QZO-4IVW,0.9955923245436008,0.7925519919288548,0.1827002632568634,27.0,0.3,6.132,6.132,FINITE
ESR1_ago,ESR1,vina,2QZO-5DUE,0.991883632005634,0.5098416911539606,0.2762679569784642,61.5,0.3,17.823,17.823,FINITE
ESR1_ago,ESR1,vina,5DUE-2B1V,0.9927704436192184,0.3429615035069581,0.3262750112832857,71.0,0.15,19.138,19.138,FINITE
ESR1_ago,ESR1,vina,5DUE-4IVW,0.9910434998586116,0.465272993235059,0.2958203790993882,56.75,0.1,15.678,15.678,FINITE
ESR1_ago,ESR1,vinardo,2B1V-4IVW,0.9980007501313332,0.8391674653057818,0.1593536093072236,27.0,0.5,9.443,9.443,FINITE
ESR1_ago,ESR1,vinardo,2QZO-2B1V,0.9985017616010576,0.8819726715604962,0.1359043153381309,22.0,0.6,2.79922,2.79922,FINITE
ESR1_ago,ESR1,vinardo,2QZO-4IVW,0.998231822379955,0.862872648695975,0.1515721378065292,23.0,0.55,3.351,3.351,FINITE
ESR1_ago,ESR1,vinardo,2QZO-5DUE,0.9936171679068366,0.4141381645871477,0.3321839656945106,72.0,0.1,17.741,17.741,FINITE
ESR1_ago,ESR1,vinardo,5DUE-2B1V,0.9933860956582148,0.3550947975156806,0.3525502783489643,82.0,0.2,21.153,21.153,FINITE
ESR1_ago,ESR1,vinardo,5DUE-4IVW,0.993116156437112,0.425714386831259,0.3270518317911682,69.5,0.15,18.607,18.607,FINITE
IDH1,IDH1,vina,5LGE-5SUN,0.9883727689628616,0.7292597036208283,0.22691478156192,42.5,0.45,19.119,19.119,FINITE
IDH1,IDH1,vina,5LGE-5SVF,0.9932736297399368,0.629634876202987,0.2609813289194849,46.75,0.35,,20.541,CENSORED
IDH1,IDH1,vina,5LGE-6ADG,0.9977279263729816,0.2919958939047875,0.3978737274961135,104.5,0.2,12.12,12.12,FINITE
IDH1,IDH1,vina,5SUN-5SVF,0.9848999260023524,0.747942040425833,0.2179768517937979,45.0,0.3,2.24,2.24,FINITE
IDH1,IDH1,vina,5SUN-6ADG,0.9893542226353972,0.1205390106295042,0.457636468493769,117.0,0.15,34.612,34.612,FINITE
IDH1,IDH1,vina,5SVF-6ADG,0.9942550834124724,-0.0215988130780285,0.5022880282837907,125.0,0.0,,36.17,CENSORED
IDH1,IDH1,vinardo,5LGE-5SUN,0.9573372860703252,0.3886118448154035,0.3623779012175396,73.0,0.3,25.994,25.994,FINITE
IDH1,IDH1,vinardo,5LGE-5SVF,0.9764105800411914,0.3507582914951026,0.3747257294030618,75.0,0.15,26.22,26.22,FINITE
